City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,sumenep,-7.0167,113.8667,28.77,71,4,4.23,ID,1715128627
118,gaiman,-43.2897,-65.4929,9.27,70,100,7.45,AR,1715128628
119,bhikangaon,21.8667,75.95,29.93,44,12,2.7,IN,1715128628
120,mejit,10.2753,170.8646,27.73,81,51,8.89,MH,1715128364
121,six-fours-les-plages,43.0938,5.84,14.69,73,0,3.23,FR,1715128422
122,prado,-17.3411,-39.2208,25.23,89,100,2.88,BR,1715128504
123,bamboo flat,11.7,92.7167,26.05,94,20,1.03,IN,1715128357
124,remire-montjoly,4.9167,-52.2667,27.02,89,40,3.09,GF,1715128347
125,jamestown,42.097,-79.2353,20.8,45,75,1.54,US,1715128307
126,margate,51.3813,1.3862,11.28,88,8,1.34,GB,1715128629
127,mananjary,-21.2167,48.3333,22.88,82,66,3.38,MG,1715128630
128,tura,25.5198,90.2201,25.99,61,100,1.16,IN,1715128317
129,coronel dorrego,-38.7187,-61.2873,13.48,94,100,1.57,AR,1715128630
130,aykhal,66.0,111.5,-2.19,93,99,9.72,RU,1715128313
131,kingston,17.997,-76.7936,28.53,84,20,2.57,JM,1715128384
132,hermanus,-34.4187,19.2345,13.22,87,0,2.17,ZA,1715128350
133,upington,-28.4478,21.2561,15.68,48,5,4.5,ZA,1715128631
134,las lomitas,-24.7096,-60.593,28.92,56,100,2.45,AR,1715128631
135,ilek,51.5271,53.3831,11.96,61,100,3.62,RU,1715128631
136,humaita,-7.5061,-63.0208,27.26,77,100,0.94,BR,1715128631
137,petrovsk,52.3064,45.3917,11.06,89,100,7.95,RU,1715128631
138,port saint john's,-31.6229,29.5448,22.82,49,0,3.65,ZA,1715128323
139,fale old settlement,-9.3852,-171.2468,29.41,75,86,4.65,TK,1715128302
140,changji,44.0167,87.3167,19.44,59,0,2.0,CN,1715128367
141,vilyuysk,63.7553,121.6247,2.78,85,100,4.47,RU,1715128632
142,la'ie,21.6477,-157.9253,27.98,73,31,3.58,US,1715128375
143,blackmans bay,-43.0167,147.3167,11.52,93,100,0.45,AU,1715128291
144,ashburton,-37.8626,145.0794,16.54,79,0,0.87,AU,1715128633
145,sarangani,5.4033,125.4636,28.23,78,73,5.2,PH,1715128633
146,sao sebastiao,-23.76,-45.4097,21.6,72,0,2.12,BR,1715128633
147,port lincoln,-34.7333,135.8667,17.1,70,100,5.07,AU,1715128288
148,kone,-21.0595,164.8658,27.41,44,0,5.89,NC,1715128393
149,as sulayyil,20.4607,45.5779,27.14,20,5,2.03,SA,1715128381
150,novo aripuana,-5.1206,-60.3797,24.38,98,100,1.14,BR,1715128294
151,saipan,15.1355,145.701,32.39,58,40,5.66,MP,1715128306
152,hobyo,5.3505,48.5268,28.76,77,95,4.28,SO,1715128482
153,tangalle,6.024,80.7911,25.09,89,100,2.6,LK,1715128634
154,ambon,-3.6954,128.1814,29.37,95,20,1.54,ID,1715128634
155,doctor arroyo,23.6667,-100.1833,27.68,11,100,3.85,MX,1715128634
156,east london,-33.0153,27.9116,21.77,80,100,8.44,ZA,1715128360
157,nema,57.5067,50.5011,3.24,100,100,3.45,RU,1715128635
158,mount pearl,47.5166,-52.7813,8.03,94,75,2.57,CA,1715128362
159,torres,-29.3353,-49.7269,24.37,81,100,2.09,BR,1715128635
160,thompson,55.7435,-97.8558,11.09,54,40,6.69,CA,1715128179
161,sitka,57.0531,-135.33,8.94,66,100,4.63,US,1715128329
162,dudinka,69.4058,86.1778,-14.62,100,67,1.79,RU,1715128284
163,monguno,12.6786,13.6079,30.55,34,77,4.23,NG,1715128636
164,rabo de peixe,37.8,-25.5833,17.77,99,75,2.57,PT,1715128292
165,young,-32.6833,-57.6333,20.49,99,100,2.24,UY,1715128636
166,pitea,65.3172,21.4794,-4.95,97,6,1.79,SE,1715128636
167,vila velha,-20.3297,-40.2925,24.97,88,75,1.03,BR,1715128637
168,ujae,8.9322,165.7642,28.09,79,100,8.68,MH,1715128383
169,tadine,-21.55,167.8833,24.07,61,31,6.56,NC,1715128637
170,college,64.8569,-147.8028,11.16,51,100,2.06,US,1715128068
171,yecla,38.6137,-1.1147,11.96,73,62,1.47,ES,1715128637
172,rongelap,11.1635,166.8941,27.36,77,100,9.09,MH,1715128404
173,pachino,36.7186,15.0907,16.9,83,100,2.25,IT,1715128638
174,broken hill,-31.95,141.4333,17.67,48,12,6.21,AU,1715128316
175,vorgashor,67.5833,63.95,-19.0,100,64,1.96,RU,1715128303
176,isafjordur,66.0755,-23.124,0.91,97,99,1.33,IS,1715128314
177,santo antonio do ica,-3.1022,-67.9397,25.38,91,100,1.2,BR,1715128638
178,gobabis,-22.45,18.9667,18.5,39,5,4.92,NA,1715128639
179,tazacorte,28.629,-17.9293,22.86,68,75,3.6,ES,1715128377
180,san fernando,15.0286,120.6898,30.85,49,11,3.12,PH,1715128639
181,talakan,50.3167,130.3667,19.48,27,94,5.29,RU,1715128639
182,mbaiki,3.8678,17.9892,23.92,77,99,1.14,CF,1715128640
183,alice springs,-23.7,133.8833,16.75,59,99,4.12,AU,1715128322
184,sirjan,29.452,55.6814,18.22,38,0,1.77,IR,1715128640
185,kalmeshwar,21.2333,78.9,24.79,51,42,0.38,IN,1715128640
186,inirida,3.8653,-67.9239,25.23,95,63,0.96,CO,1715128341
187,istgah-e rah ahan-e garmsar,35.2346,52.3094,19.58,30,11,3.89,IR,1715128640
188,kemecse,48.0753,21.8063,13.19,88,100,5.72,HU,1715128641
189,popondetta,-8.7537,148.2534,31.0,60,100,1.29,PG,1715128641
